-15.636	116.571	6.212	-0.000	-360.819	-77.776
-5.643	4.175	6.040	-0.121	-3.108	-0.516
185.929	2.829	6.033	-0.000	-899.971	-116.221
-1.526	-6.225	5.768	0.120	-2.879	-0.560
247.073	-148.584	5.634	0.000	-2161.641	-179.265
5.319	1.740	4.830	0.061	-2.382	-1.679
-2.870	4.790	3.776	0.019	-2.374	-0.269
89.220	-190.216	4.547	-0.000	-1148.299	-99.189
5.833	3.504	4.211	-0.137	-2.806	0.331
148.387	159.414	5.131	-0.000	-1233.893	-119.880
4.734	-4.542	4.133	0.127	-2.723	0.230
6.476	-0.904	4.873	0.075	-2.817	0.242
1.348	-6.822	4.402	0.074	-2.861	0.002
172.186	-128.996	5.019	-0.000	-1204.145	-118.724
4.970	5.069	5.032	0.098	-3.013	0.354
160.913	-97.936	4.636	0.000	-923.225	-116.026
-5.908	-4.818	4.779	0.045	-3.148	0.646
-5.784	-1.456	4.659	-0.007	-2.570	-0.388
5.797	-3.970	6.078	-0.118	-3.108	-0.729
5.896	0.323	2.513	-0.258	-2.272	-0.056
55.217	191.357	5.674	0.000	-1032.170	-119.576
45.976	-197.188	6.145	-0.000	-1066.825	-132.566
101.043	-150.602	3.886	-0.001	-855.730	-72.594
3.250	-6.185	3.687	0.219	-2.750	-0.330
-84.332	19.445	4.716	0.000	-195.698	-43.262
5.873	-1.436	4.178	-0.005	-2.557	0.115
75.255	137.169	5.114	0.001	-637.315	-83.835
145.023	151.318	5.363	-0.000	-1142.885	-125.692
-60.810	48.383	5.940	0.000	-158.189	-51.261
5.669	-0.881	4.604	0.062	-2.538	0.051
41.330	5.293	5.135	-0.000	-46.265	-24.042
1.376	8.047	5.990	0.067	-3.565	0.598
-6.680	-3.076	4.047	-0.286	-2.966	0.546
-3.089	-6.165	4.309	0.065	-2.797	-0.320
7.248	5.516	3.037	-0.388	-3.397	0.713
2.698	-5.867	5.140	-0.125	-2.814	0.245
1.905	-7.408	5.791	-0.138	-3.308	0.126
-0.319	5.817	5.344	0.031	-2.595	-1.072
5.025	-2.949	4.401	-0.061	-2.540	-0.030
3.682	6.128	5.960	0.115	-3.153	-0.259
-1.069	6.292	5.186	-0.057	-2.815	0.135
-197.292	-154.252	4.610	-0.001	-1631.117	-125.832
-17.389	-18.637	4.535	-0.000	-17.972	-13.781
-4.439	3.703	3.815	-0.161	-2.482	0.072
0.496	-5.685	4.956	0.021	-2.543	-0.280
-0.493	-5.761	3.624	0.261	-2.441	-0.257
-159.262	-69.176	4.292	-0.001	-784.513	-95.765
-16.127	-21.882	5.017	0.000	-20.364	-16.623
-159.442	-119.334	6.165	0.001	-1032.144	-127.531
-6.544	2.366	6.274	-0.070	-3.104	-0.647
-7.816	0.078	6.043	-0.066	-3.402	-0.265
5.765	-2.183	3.453	-0.003	-2.538	0.208
-149.593	-47.331	4.782	0.000	-640.874	-80.236
-3.049	4.703	3.950	0.128	-2.449	0.045
6.274	5.420	4.059	-0.203	-3.260	0.531
3.391	5.142	4.804	0.093	-2.645	-0.711
-42.413	51.908	3.571	-0.000	-117.593	-26.103
86.348	-2.686	2.671	-0.000	-194.599	-26.213
-26.366	-46.455	6.223	0.000	-75.474	-36.630
151.436	285.442	5.133	0.001	-2714.855	-189.078
-99.635	-183.330	5.759	0.000	-1132.785	-127.258
-3.431	-4.892	4.916	0.173	-2.611	-0.325
-2.723	-5.660	4.986	0.075	-2.728	-0.475
-66.282	202.885	4.092	0.000	-1184.924	-102.992
14.461	-7.301	4.909	-0.000	-8.062	-9.447
295.281	-72.616	4.669	0.001	-2404.259	-172.083
-0.221	-6.421	5.956	-0.041	-2.896	-0.738
-3.459	-146.692	4.997	0.000	-560.650	-82.644
1.901	-6.544	5.935	-0.011	-3.018	-0.701
-2.847	-5.574	4.905	0.098	-2.743	0.063
1.210	5.695	4.938	0.042	-2.588	-0.521
7.150	1.279	5.283	0.023	-3.109	0.501
1.076	-6.097	4.293	0.150	-2.633	-0.328
290.365	-72.077	5.328	0.001	-2327.533	-175.730
65.801	-111.277	6.028	0.001	-435.618	-82.992
-187.219	-195.982	4.572	0.001	-1910.295	-147.114
90.631	-124.402	5.539	0.001	-616.873	-92.829
-3.074	6.828	5.473	0.011	-3.165	-0.559
